"","latitude","longitude","tot.catch","log.1.p.tot.catch"
"71",39.71667,-73.05,17,2.89037175789616
"72",39.76667,-73.11667,15,2.77258872223978
"73",39.81667,-73.06667,17,2.89037175789616
"74",39.88333,-73.25,41,3.73766961828337
"75",39.93333,-73.28333,4,1.6094379124341
"76",39.9,-73.35,139,4.9416424226093
"77",39.98333,-73.35,0,0
"78",40.01667,-73.28333,5,1.79175946922805
"79",40.03333,-73.36667,3,1.38629436111989
"80",40,-73.45,21,3.09104245335832
"81",40.05,-73.48333,0,0
"82",40.11667,-73.56667,14,2.70805020110221
"83",40.15,-73.55,4,1.6094379124341
"84",40.13333,-73.61667,0,0
"85",40.16667,-73.66667,1,0.693147180559945
"86",40.21667,-73.55,0,0
"87",40.15,-73.28333,9,2.30258509299405
"88",39.98333,-73.05,13,2.63905732961526
"89",39.9,-73.11667,3,1.38629436111989
"90",39.85,-72.98333,3,1.38629436111989
"91",39.9,-72.91667,114,4.74493212836325
"92",39.85,-72.78333,471,6.15697898558556
"93",39.98333,-72.58333,842,6.73696695800186
"94",39.98333,-72.75,326,5.78996017089725
"95",39.98333,-72.81667,52,3.97029191355212
"96",40.1,-72.91667,22,3.13549421592915
"97",40.18333,-72.85,21,3.09104245335832
"98",40.1,-72.81667,26,3.29583686600433
"99",40.06667,-72.51667,91,4.52178857704904
"100",40.15,-72.55,70,4.26267987704132
"101",40.18333,-72.45,35,3.58351893845611
"102",40.21667,-72.51667,42,3.76120011569356
"103",40.23333,-72.68333,42,3.76120011569356
"104",40.31667,-72.61667,20,3.04452243772342
"105",40.4,-72.68333,17,2.89037175789616
"106",40.51667,-72.68333,25,3.25809653802148
"107",40.55,-72.48333,19,2.99573227355399
"108",40.45,-72.53333,20,3.04452243772342
"109",40.46667,-72.46667,41,3.73766961828337
"110",40.4,-72.41667,46,3.85014760171006
"111",40.31667,-72.43333,30,3.43398720448515
"112",40.31667,-72.35,21,3.09104245335832
"113",40.23333,-72.35,37,3.63758615972639
"114",40.18333,-72.3,290,5.67332326717149
"115",40.23333,-72.18333,207,5.33753807970132
"116",40.91667,-71.76667,297,5.6970934865054
"117",40.86667,-71.8,46,3.85014760171006
"118",40.86667,-71.85,23,3.17805383034795
"119",40.9,-71.95,1,0.693147180559945
"120",40.85,-72.06667,9,2.30258509299405
"121",40.81667,-72.18333,20,3.04452243772342
"122",40.81667,-72.3,0,0
"123",40.81667,-72.38333,0,0
"124",40.78333,-72.35,33,3.52636052461616
"125",40.66667,-72.38333,28,3.36729582998647
"126",40.58333,-72.38333,159,5.07517381523383
"127",40.61667,-72.31667,62,4.14313472639153
"128",40.56667,-72.25,76,4.34380542185368
"129",40.56667,-72.18333,106,4.67282883446191
"130",40.53333,-72.18333,71,4.27666611901606
"131",40.5,-72.31667,50,3.93182563272433
"132",40.43333,-72.28333,68,4.23410650459726
"133",40.35,-72.25,24,3.2188758248682
"134",40.31667,-72.15,26,3.29583686600433
"135",40.36667,-72.1,11,2.484906649788
"136",40.45,-71.96667,3,1.38629436111989
"137",40.56667,-71.98333,26,3.29583686600433
"138",40.6,-72.01667,34,3.55534806148941
"139",40.6,-72.13333,75,4.33073334028633
"140",40.65,-72.16667,143,4.969813299576
"141",40.65,-72.08333,62,4.14313472639153
"142",40.7,-72.05,31,3.46573590279973
"143",40.73333,-72.05,230,5.44241771052179
"144",40.71667,-71.98333,8,2.19722457733622
"145",40.66667,-71.83333,114,4.74493212836325
"146",40.73333,-71.88333,8,2.19722457733622
"147",40.76667,-71.91667,8,2.19722457733622
"148",40.75,-71.83333,38,3.66356164612965
